datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-05-30 08:14:34.304,1559204074304,2ceza,2,snake,79,0.1920860545524395,0.804712,27.48,5,13,16,13,13,14,0,13,14,0.8
2019-05-30 08:14:35.296,1559204075296,2ceza,2,snake,79,0.1941747572815534,0.771528,27.59,5,13,16,13,13,14,0,13,14,0.8
2019-05-30 08:14:36.295,1559204076295,2ceza,2,snake,78,0.1952362358453729,0.7590839999999999,27.59,5,13,16,13,13,14,0,13,14,0.4
2019-05-30 08:14:37.296,1559204077296,2ceza,2,snake,78,0.19766752322593398,0.7234111999999999,27.59,5,13,16,13,13,14,0,13,14,0.4
2019-05-30 08:14:38.313,1559204078313,2ceza,2,snake,78,0.20012007204322593,0.7259,27.59,5,13,16,13,13,14,0,13,14,0.4
2019-05-30 08:14:39.313,1559204079313,2ceza,2,snake,78,0.2015316404675534,0.734196,27.59,5,13,16,13,13,14,100,13,14,0.4
2019-05-30 08:14:40.313,1559204080313,2ceza,2,snake,78,0.2015316404675534,0.5873567999999999,27.59,5,13,16,13,13,14,100,13,14,0.4
2019-05-30 08:14:41.313,1559204081313,2ceza,2,snake,78,0.20296326364927947,0.5774016,27.59,5,13,16,13,13,14,100,13,14,1.8
2019-05-30 08:14:42.313,1559204082313,2ceza,2,snake,79,0.2039983680130559,0.5674464,27.59,5,13,16,13,13,14,200,13,14,1.8
2019-05-30 08:14:43.313,1559204083313,2ceza,2,snake,80,0.20366598778004075,0.6968639999999999,27.59,5,13,16,13,13,14,200,13,14,1.8
2019-05-30 08:14:44.313,1559204084313,2ceza,2,snake,80,0.20296326364927947,0.6537248,27.59,5,13,16,13,13,14,200,13,14,1.8
2019-05-30 08:14:45.313,1559204085313,2ceza,2,snake,80,0.2047082906857728,0.6537248,27.59,5,13,16,13,13,14,300,13,14,1.8
2019-05-30 08:14:46.313,1559204086313,2ceza,2,snake,81,0.2068680182043856,0.688568,27.59,5,13,16,13,13,14,300,13,14,3.0
2019-05-30 08:14:47.313,1559204087313,2ceza,2,snake,81,0.20794343938448742,0.7590839999999999,27.59,5,13,16,13,13,14,0,13,14,3.0
2019-05-30 08:14:48.313,1559204088313,2ceza,2,snake,80,0.20755500207555003,0.804712,27.59,5,13,16,13,13,14,0,13,14,3.0
2019-05-30 08:14:49.322,1559204089322,2ceza,2,snake,80,0.20933640360058614,0.7881199999999999,27.59,5,13,16,13,13,14,0,13,14,3.0
