datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-04 08:52:51.792,1559638371792,deztl,0,snake,88,0.5089058524173028,0.821304,33.22,2,0,3,10,1,0,0,1,4,0.0
2019-06-04 08:52:52.792,1559638372792,deztl,0,snake,88,0.5060728744939271,0.76738,33.22,2,0,3,10,1,0,0,1,4,0.0
2019-06-04 08:52:53.792,1559638373792,deztl,0,snake,87,0.5060728744939271,0.7093079999999999,33.22,2,0,3,10,1,0,100,1,4,0.0
2019-06-04 08:52:54.793,1559638374793,deztl,0,snake,86,0.5060728744939271,0.680272,33.22,2,0,3,10,1,0,100,1,4,0.0
2019-06-04 08:52:55.794,1559638375794,deztl,0,snake,85,0.5055611729019212,0.655384,33.22,2,0,3,10,1,0,100,1,4,0.8
2019-06-04 08:52:56.794,1559638376794,deztl,0,snake,85,0.5055611729019212,0.6371328,33.22,2,0,3,10,1,0,100,1,4,0.8
2019-06-04 08:52:57.803,1559638377803,deztl,0,snake,86,0.5065856129685917,0.6719759999999999,33.22,2,0,3,10,1,0,200,1,4,0.8
2019-06-04 08:52:58.803,1559638378803,deztl,0,snake,86,0.5055611729019212,0.6736352000000001,33.22,2,0,3,10,1,0,200,1,4,0.8
2019-06-04 08:52:59.806,1559638379806,deztl,0,snake,87,0.5055611729019212,0.6968639999999999,33.22,2,0,3,10,1,0,200,1,4,0.8
2019-06-04 08:53:00.804,1559638380804,deztl,0,snake,86,0.5055611729019212,0.6769536,33.22,2,0,3,10,1,0,300,1,4,0.8
2019-06-04 08:53:01.805,1559638381805,deztl,0,snake,86,0.5047955577990914,0.6885679999999998,33.22,2,0,3,10,1,0,300,1,4,0.8
2019-06-04 08:53:02.805,1559638382805,deztl,0,snake,86,0.5042864346949067,0.6935456,33.22,2,0,3,10,1,0,300,1,4,0.8
2019-06-04 08:53:03.805,1559638383805,deztl,0,snake,86,0.5042864346949067,0.680272,33.22,2,0,3,10,1,0,300,1,4,0.8
2019-06-04 08:53:04.806,1559638384806,deztl,0,snake,86,0.5042864346949067,0.6769536,33.22,2,0,3,10,1,0,400,1,4,0.8
2019-06-04 08:53:05.807,1559638385807,deztl,0,snake,90,0.5042864346949067,0.692716,33.22,2,0,3,10,1,0,400,1,4,1.0
2019-06-04 08:53:06.810,1559638386810,deztl,0,snake,90,0.5042864346949067,0.7549359999999999,33.22,2,0,3,10,1,0,400,1,4,1.0
2019-06-04 08:53:07.812,1559638387812,deztl,0,snake,90,0.5042864346949067,0.8074773333333333,33.22,2,0,3,10,1,0,400,1,4,1.0
2019-06-04 08:53:08.811,1559638388811,deztl,0,snake,89,0.5042864346949067,0.7881199999999999,33.22,2,0,3,10,1,0,400,1,4,1.0
2019-06-04 08:53:09.818,1559638389818,deztl,0,snake,82,0.501002004008016,0.713456,33.32,2,0,3,10,1,0,400,1,4,1.0
2019-06-04 08:53:10.830,1559638390830,deztl,0,snake,83,0.5,0.66368,33.32,2,0,3,10,1,0,500,1,4,0.6
2019-06-04 08:53:11.830,1559638391830,deztl,0,snake,81,0.5047955577990914,0.6885680000000001,33.32,2,0,3,10,1,0,500,1,4,0.6
2019-06-04 08:53:12.830,1559638392830,deztl,0,snake,81,0.5032712632108707,0.7259,33.32,2,0,3,10,1,0,0,1,4,0.6
2019-06-04 08:53:13.831,1559638393831,deztl,0,snake,81,0.5022601707684581,0.8005639999999999,33.32,2,0,3,10,1,0,0,1,4,0.6
2019-06-04 08:53:14.831,1559638394831,deztl,0,snake,80,0.5037783375314862,0.754936,33.32,2,0,3,10,1,0,0,1,4,0.6
2019-06-04 08:53:15.832,1559638395832,deztl,0,snake,81,0.5037783375314862,0.750788,33.32,2,0,3,10,1,0,0,1,4,1.0
2019-06-04 08:53:16.834,1559638396834,deztl,0,snake,81,0.5037783375314862,0.7176039999999999,33.32,2,0,3,10,1,0,100,1,4,1.0
2019-06-04 08:53:17.834,1559638397834,deztl,0,snake,81,0.5032712632108707,0.7010119999999999,33.32,2,0,3,10,1,0,100,1,4,1.0
2019-06-04 08:53:18.834,1559638398834,deztl,0,snake,80,0.5037783375314862,0.688568,33.32,2,0,3,10,1,0,100,1,4,1.0
