datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-27 08:57:32.325,1561625852325,kru08,0,snake,83,4.098360655737705,0.796416,33.91,2,0,2,8,2,0,0,1,2,0.0
2019-06-27 08:57:33.324,1561625853324,kru08,0,snake,82,4.11522633744856,0.730048,33.91,2,0,2,8,2,0,0,1,2,0.0
2019-06-27 08:57:34.325,1561625854325,kru08,0,snake,82,4.11522633744856,0.6902271999999999,33.91,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:57:35.326,1561625855326,kru08,0,snake,82,4.11522633744856,0.676124,33.91,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:57:36.325,1561625856325,kru08,0,snake,82,4.098360655737705,0.6869088,33.91,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:57:37.328,1561625857328,kru08,0,snake,83,4.098360655737705,0.70516,33.91,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:38.329,1561625858329,kru08,0,snake,83,4.081632653061225,0.7134560000000001,33.91,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:39.381,1561625859381,kru08,0,snake,83,4.081632653061225,0.7176039999999999,33.91,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:40.383,1561625860383,kru08,0,snake,83,4.065040650406504,0.7259,33.95,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:41.383,1561625861383,kru08,0,snake,82,4.065040650406504,0.7234111999999999,33.95,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:42.383,1561625862383,kru08,0,snake,82,4.065040650406504,0.730048,33.95,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:57:43.383,1561625863383,kru08,0,snake,83,4.065040650406504,0.730048,33.95,2,0,2,8,2,0,300,1,2,0.6
2019-06-27 08:57:44.383,1561625864383,kru08,0,snake,83,4.065040650406504,0.74664,33.95,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:57:45.384,1561625865384,kru08,0,snake,82,4.065040650406504,0.74664,33.95,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:57:46.387,1561625866387,kru08,0,snake,82,4.048582995951417,0.750788,33.95,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:57:47.385,1561625867385,kru08,0,snake,82,4.048582995951417,0.738344,33.95,2,0,2,8,2,0,400,1,2,0.8
2019-06-27 08:57:48.385,1561625868385,kru08,0,snake,80,4.032258064516129,0.7383439999999999,33.95,2,0,2,8,2,0,400,1,2,0.8
2019-06-27 08:57:49.384,1561625869384,kru08,0,snake,80,4.032258064516129,0.7383439999999999,33.95,2,0,2,8,2,0,400,1,2,0.8
2019-06-27 08:57:50.385,1561625870385,kru08,0,snake,80,4.032258064516129,0.7341960000000001,33.95,2,0,2,8,2,0,600,1,2,0.8
2019-06-27 08:57:51.387,1561625871387,kru08,0,snake,80,4.032258064516129,0.738344,33.95,2,0,2,8,2,0,600,1,2,0.8
2019-06-27 08:57:52.386,1561625872386,kru08,0,snake,81,4.032258064516129,0.7424919999999999,33.95,2,0,2,8,2,0,600,1,2,0.8
2019-06-27 08:57:53.386,1561625873386,kru08,0,snake,80,4.032258064516129,0.7632319999999999,33.95,2,0,2,8,2,0,600,1,2,0.8
2019-06-27 08:57:54.386,1561625874386,kru08,0,snake,79,4.016064257028113,0.76738,33.95,2,0,2,8,2,0,600,1,2,0.6
2019-06-27 08:57:55.387,1561625875387,kru08,0,snake,79,4.016064257028113,0.771528,33.95,2,0,2,8,2,0,700,1,2,0.6
2019-06-27 08:57:56.386,1561625876386,kru08,0,snake,79,4.016064257028113,0.783972,33.95,2,0,2,8,2,0,700,1,2,0.6
2019-06-27 08:57:57.387,1561625877387,kru08,0,snake,78,4.016064257028113,0.779824,33.95,2,0,2,8,2,0,700,1,2,0.6
2019-06-27 08:57:58.389,1561625878389,kru08,0,snake,76,4.016064257028113,0.7839719999999999,33.95,2,0,2,8,2,0,700,1,2,0.6
2019-06-27 08:57:59.388,1561625879388,kru08,0,snake,77,4.016064257028113,0.7341959999999998,33.95,2,0,2,8,2,0,800,1,2,0.8
2019-06-27 08:58:00.388,1561625880388,kru08,0,snake,83,4.0,0.730048,33.95,2,0,2,8,2,0,800,1,2,0.8
2019-06-27 08:58:01.389,1561625881389,kru08,0,snake,83,4.0,0.7176039999999999,33.95,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:02.390,1561625882390,kru08,0,snake,83,4.0,0.7549359999999999,33.95,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:03.391,1561625883391,kru08,0,snake,80,4.0,0.763232,33.95,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:04.390,1561625884390,kru08,0,snake,80,3.9840637450199203,0.771528,33.95,2,0,2,8,2,0,0,1,2,1.0
2019-06-27 08:58:05.391,1561625885391,kru08,0,snake,78,3.9840637450199203,0.779824,33.95,2,0,2,8,2,0,100,1,2,1.0
2019-06-27 08:58:06.391,1561625886391,kru08,0,snake,80,3.9840637450199203,0.771528,33.95,2,0,2,8,2,0,100,1,2,1.0
2019-06-27 08:58:07.391,1561625887391,kru08,0,snake,78,3.9840637450199203,0.754936,33.95,2,0,2,8,2,0,100,1,2,1.0
2019-06-27 08:58:08.394,1561625888394,kru08,0,snake,78,3.9840637450199203,0.7400032,33.95,2,0,2,8,2,0,100,1,2,1.0
2019-06-27 08:58:09.393,1561625889393,kru08,0,snake,78,3.9840637450199203,0.721752,33.95,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:58:10.394,1561625890394,kru08,0,snake,79,3.9840637450199203,0.721752,33.95,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:58:11.394,1561625891394,kru08,0,snake,80,3.9682539682539684,0.70516,33.99,2,0,2,8,2,0,100,1,2,0.6
2019-06-27 08:58:12.393,1561625892393,kru08,0,snake,81,3.9682539682539684,0.70516,33.99,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:58:13.393,1561625893393,kru08,0,snake,82,3.9682539682539684,0.7035007999999999,33.99,2,0,2,8,2,0,200,1,2,0.6
2019-06-27 08:58:14.393,1561625894393,kru08,0,snake,82,3.9682539682539684,0.7134560000000001,33.99,2,0,2,8,2,0,200,1,2,0.8
2019-06-27 08:58:15.392,1561625895392,kru08,0,snake,83,3.9682539682539684,0.7134560000000001,33.99,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:58:16.394,1561625896394,kru08,0,snake,83,3.9682539682539684,0.7259,33.99,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:58:17.396,1561625897396,kru08,0,snake,83,3.9682539682539684,0.7259,33.99,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:58:18.396,1561625898396,kru08,0,snake,82,3.9682539682539684,0.7267296,33.99,2,0,2,8,2,0,300,1,2,0.8
2019-06-27 08:58:19.395,1561625899395,kru08,0,snake,82,3.9682539682539684,0.7176039999999999,33.99,2,0,2,8,2,0,300,1,2,1.0
2019-06-27 08:58:20.397,1561625900397,kru08,0,snake,82,3.9682539682539684,0.721752,33.99,2,0,2,8,2,0,300,1,2,1.0
2019-06-27 08:58:21.396,1561625901396,kru08,0,snake,82,3.952569169960474,0.7267296,33.99,2,0,2,8,2,0,400,1,2,1.0
2019-06-27 08:58:22.398,1561625902398,kru08,0,snake,81,3.952569169960474,0.7383439999999999,33.99,2,0,2,8,2,0,400,1,2,1.0
2019-06-27 08:58:23.399,1561625903399,kru08,0,snake,81,3.9682539682539684,0.796416,33.99,2,0,2,8,2,0,400,1,2,1.0
2019-06-27 08:58:24.401,1561625904401,kru08,0,snake,81,4.0,0.730048,33.99,2,0,2,8,2,0,500,1,2,0.8
2019-06-27 08:58:25.401,1561625905401,kru08,0,snake,81,4.065040650406504,0.6968639999999999,33.99,2,0,2,8,2,0,500,1,2,0.8
2019-06-27 08:58:26.402,1561625906402,kru08,0,snake,80,4.11522633744856,0.6238592,33.99,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:27.403,1561625907403,kru08,0,snake,81,4.098360655737705,0.66368,33.99,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:28.403,1561625908403,kru08,0,snake,82,4.081632653061225,0.6885680000000001,33.99,2,0,2,8,2,0,100,1,2,0.8
2019-06-27 08:58:29.403,1561625909403,kru08,0,snake,82,4.065040650406504,0.8572533333333333,33.99,2,0,2,8,2,0,100,1,2,0.4
2019-06-27 08:58:30.403,1561625910403,kru08,0,snake,81,4.032258064516129,0.842044,33.99,2,0,2,8,2,0,100,1,2,0.4
2019-06-27 08:58:31.402,1561625911402,kru08,0,snake,82,4.032258064516129,0.862784,33.99,2,0,2,8,2,0,100,1,2,0.4
2019-06-27 08:58:32.403,1561625912403,kru08,0,snake,80,4.016064257028113,0.7798239999999999,33.99,2,0,2,8,2,0,100,1,2,0.4
2019-06-27 08:58:33.405,1561625913405,kru08,0,snake,80,4.016064257028113,0.754936,33.99,2,0,2,8,2,0,0,1,2,0.4
2019-06-27 08:58:34.407,1561625914407,kru08,0,snake,80,4.016064257028113,0.7341960000000001,33.99,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:35.412,1561625915412,kru08,0,snake,80,4.0,0.709308,33.99,2,0,2,8,2,0,0,1,2,0.8
2019-06-27 08:58:36.411,1561625916411,kru08,0,snake,80,4.0,0.7134560000000001,33.99,2,0,2,8,2,0,0,1,2,0.8
