datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-05-30 08:55:46.916,1559206546916,mgjvs,2,snake,70,0.05567308762943993,0.44521866666666665,30.5,13,13,16,10,14,8,0,14,17,0.0
2019-05-30 08:55:47.917,1559206547917,mgjvs,2,snake,70,0.04489942528735632,0.5001302857142857,30.5,13,13,16,10,14,8,0,14,17,0.0
2019-05-30 08:55:48.918,1559206548918,mgjvs,2,snake,70,0.048645230335165636,0.5508544,30.5,13,13,16,10,14,8,0,14,17,0.0
2019-05-30 08:55:49.918,1559206549918,mgjvs,2,snake,70,0.048376953219486235,0.8406613333333333,30.5,13,13,16,10,14,8,0,14,17,0.0
2019-05-30 08:55:50.919,1559206550919,mgjvs,2,snake,70,0.05160491278769739,0.7341960000000001,30.5,13,13,16,10,14,8,100,14,17,0.0
2019-05-30 08:55:51.919,1559206551919,mgjvs,2,snake,70,0.055398592875740955,0.6072672,30.5,13,13,16,10,14,8,200,14,17,0.0
2019-05-30 08:55:52.921,1559206552921,mgjvs,2,snake,70,0.05703530485370444,0.547536,30.5,13,13,16,10,14,8,200,14,17,0.6
2019-05-30 08:55:53.921,1559206553921,mgjvs,2,snake,70,0.058948361235557654,0.60146,30.5,13,13,16,10,14,8,200,14,17,0.6
2019-05-30 08:55:54.921,1559206554921,mgjvs,2,snake,70,0.06141751627564181,0.771528,30.5,13,13,16,10,14,8,300,14,17,0.6
2019-05-30 08:55:55.921,1559206555921,mgjvs,2,snake,70,0.0630715862503942,0.8544879999999999,30.5,13,13,16,10,14,8,400,14,17,0.6
2019-05-30 08:55:56.922,1559206556922,mgjvs,2,snake,70,0.06472910868017348,0.9332999999999999,30.5,13,13,16,10,14,8,400,14,17,0.6
2019-05-30 08:55:57.923,1559206557923,mgjvs,2,snake,70,0.06583711896767397,1.0176426666666667,30.5,13,13,16,10,14,8,400,14,17,1.4
2019-05-30 08:55:58.926,1559206558926,mgjvs,2,snake,70,0.06861534239055853,0.9733973333333333,30.5,13,13,16,10,14,8,400,14,17,1.4
2019-05-30 08:55:59.926,1559206559926,mgjvs,2,snake,70,0.07001330252748023,0.862784,30.5,13,13,16,10,14,8,400,14,17,1.4
2019-05-30 08:56:00.926,1559206560926,mgjvs,2,snake,70,0.07085163667280714,0.8185386666666666,30.5,13,13,16,10,14,8,400,14,17,1.4
2019-05-30 08:56:01.989,1559206561989,mgjvs,2,snake,72,0.07197351374694112,0.8461919999999999,30.5,13,13,16,10,14,8,500,14,17,1.6
2019-05-30 08:56:03.011,1559206563011,mgjvs,2,snake,74,0.07253735673872044,0.858636,30.5,13,13,16,10,14,8,600,14,17,1.6
2019-05-30 08:56:04.011,1559206564011,mgjvs,2,snake,74,0.0778998208304121,0.8088599999999999,30.5,13,13,16,10,14,8,600,14,17,1.6
2019-05-30 08:56:05.012,1559206565012,mgjvs,2,snake,74,0.08045699573577923,0.7964160000000001,30.5,13,13,16,10,14,8,600,14,17,1.6
2019-05-30 08:56:06.012,1559206566012,mgjvs,2,snake,73,0.0813140348024069,0.74664,30.5,13,13,16,10,14,8,600,14,17,1.6
2019-05-30 08:56:07.013,1559206567013,mgjvs,2,snake,73,0.08274036074797286,0.800564,30.5,13,13,16,10,14,8,600,14,17,1.2
2019-05-30 08:56:08.012,1559206568012,mgjvs,2,snake,72,0.08445945945945946,0.813008,30.5,13,13,16,10,14,8,600,14,17,1.2
2019-05-30 08:56:09.012,1559206569012,mgjvs,2,snake,73,0.08475294516484448,0.8683146666666666,30.5,13,13,16,10,14,8,700,14,17,1.2
2019-05-30 08:56:10.012,1559206570012,mgjvs,2,snake,73,0.08590327291469806,0.962336,30.5,13,13,16,10,14,8,700,14,17,1.2
2019-05-30 08:56:11.012,1559206571012,mgjvs,2,snake,72,0.08878629139660836,0.962336,30.5,13,13,16,10,14,8,0,14,17,1.2
2019-05-30 08:56:12.012,1559206572012,mgjvs,2,snake,72,0.08936550491510277,0.962336,30.5,13,13,16,10,14,8,0,14,17,1.2
2019-05-30 08:56:13.013,1559206573013,mgjvs,2,snake,71,0.09052231375033946,0.9014986666666668,30.5,13,13,16,10,14,8,100,14,17,1.2
2019-05-30 08:56:14.014,1559206574014,mgjvs,2,snake,71,0.09139932364500503,0.85034,30.5,13,13,16,10,14,8,200,14,17,1.2
2019-05-30 08:56:15.015,1559206575015,mgjvs,2,snake,66,0.09314456035767511,0.833748,30.5,13,13,16,10,14,8,300,14,17,1.2
2019-05-30 08:56:16.024,1559206576024,mgjvs,2,snake,65,0.09431293030274451,0.817156,30.72,13,13,16,10,14,8,400,14,17,1.2
2019-05-30 08:56:17.023,1559206577023,mgjvs,2,snake,66,0.0946073793755913,0.862784,30.72,13,13,16,10,14,8,400,14,17,1.0
2019-05-30 08:56:18.024,1559206578024,mgjvs,2,snake,67,0.09754194303550527,0.8904373333333333,30.72,13,13,16,10,14,8,400,14,17,1.0
2019-05-30 08:56:19.026,1559206579026,mgjvs,2,snake,67,0.0984251968503937,0.9014986666666666,30.72,13,13,16,10,14,8,400,14,17,1.0
2019-05-30 08:56:20.025,1559206580025,mgjvs,2,snake,72,0.09900990099009901,0.9180906666666666,30.72,13,13,16,10,14,8,400,14,17,1.0
2019-05-30 08:56:21.026,1559206581026,mgjvs,2,snake,71,0.09930486593843098,0.895968,30.72,13,13,16,10,14,8,400,14,17,1.0
