datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-05-26 13:58:57.855,1558879137855,n3r2b,2,snake,70,0.2541942043721403,0.895968,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:58:58.846,1558879138846,n3r2b,2,snake,70,0.25687130747495507,1.136552,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:58:59.848,1558879139848,n3r2b,2,snake,70,0.2545176889793841,1.0397653333333334,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:00.848,1558879140848,n3r2b,2,snake,70,0.2560819462227913,0.999668,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:01.847,1558879141847,n3r2b,2,snake,70,0.2579979360165119,0.9125599999999999,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:02.847,1558879142847,n3r2b,2,snake,70,0.2595380223202699,0.9070293333333334,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:03.847,1558879143847,n3r2b,2,snake,69,0.25839793281653745,0.8572533333333333,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:04.848,1558879144848,n3r2b,2,snake,69,0.2615062761506276,0.7687626666666666,28.13,0,4,17,0,18,10,0,4,5,0.0
2019-05-26 13:59:05.848,1558879145848,n3r2b,2,snake,70,0.26191723415400736,0.7964159999999999,28.13,0,4,17,0,18,10,0,4,5,0.8
2019-05-26 13:59:06.847,1558879146847,n3r2b,2,snake,70,0.26109660574412535,0.908412,28.13,0,4,17,0,18,10,0,4,5,0.8
2019-05-26 13:59:07.851,1558879147851,n3r2b,2,snake,69,0.2638522427440633,0.9333,28.13,0,4,17,0,18,10,0,4,5,0.8
2019-05-26 13:59:08.852,1558879148852,n3r2b,2,snake,68,0.2638522427440633,0.966484,28.13,0,4,17,0,18,10,0,4,5,0.8
2019-05-26 13:59:09.853,1558879149853,n3r2b,2,snake,68,0.26191723415400736,0.9236213333333332,28.13,0,4,17,0,18,10,0,4,5,0.8
2019-05-26 13:59:10.877,1558879150877,n3r2b,2,snake,68,0.2646202699126753,0.9180906666666666,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:11.878,1558879151878,n3r2b,2,snake,67,0.2626740215392698,0.8517226666666667,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:12.878,1558879152878,n3r2b,2,snake,67,0.26659557451346305,0.837896,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:13.878,1558879153878,n3r2b,2,snake,67,0.2669514148424987,0.8296,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:14.879,1558879154879,n3r2b,2,snake,67,0.2669514148424987,0.9512746666666666,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:15.880,1558879155880,n3r2b,2,snake,67,0.2669514148424987,0.9333,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:16.880,1558879156880,n3r2b,2,snake,67,0.2689618074233459,0.9263866666666667,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:17.888,1558879157888,n3r2b,2,snake,67,0.26737967914438504,0.916708,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:18.889,1558879158889,n3r2b,2,snake,67,0.2677376171352075,0.866932,28.13,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:19.889,1558879159889,n3r2b,2,snake,67,0.2677376171352075,0.8074773333333334,28.42,0,4,17,0,18,10,0,4,5,0.6
2019-05-26 13:59:20.889,1558879160889,n3r2b,2,snake,66,0.27129679869777534,0.763232,28.42,0,4,17,0,18,10,0,4,5,1.4
2019-05-26 13:59:21.889,1558879161889,n3r2b,2,snake,66,0.2689618074233459,0.7964159999999999,28.42,0,4,17,0,18,10,0,4,5,1.4
2019-05-26 13:59:22.889,1558879162889,n3r2b,2,snake,67,0.2732987154960372,0.804712,28.42,0,4,17,0,18,10,0,4,5,1.4
2019-05-26 13:59:23.890,1558879163890,n3r2b,2,snake,68,0.2724795640326976,0.8296,28.42,0,4,17,0,18,10,0,4,5,1.4
2019-05-26 13:59:24.891,1558879164891,n3r2b,2,snake,68,0.27129679869777534,0.8849066666666667,28.42,0,4,17,0,18,10,0,4,5,1.4
2019-05-26 13:59:25.891,1558879165891,n3r2b,2,snake,69,0.271665308340125,0.8683146666666667,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:26.893,1558879166893,n3r2b,2,snake,69,0.271665308340125,0.8296,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:27.894,1558879167894,n3r2b,2,snake,69,0.2764722145424385,0.7881199999999999,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:28.896,1558879168896,n3r2b,2,snake,70,0.2780094523213789,0.78812,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:29.910,1558879169910,n3r2b,2,snake,73,0.2760143527463428,0.7687626666666666,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:30.909,1558879170909,n3r2b,2,snake,73,0.2744990392533626,0.792268,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:31.909,1558879171909,n3r2b,2,snake,73,0.2744990392533626,0.7200928,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:32.910,1558879172910,n3r2b,2,snake,73,0.2780094523213789,0.7068192,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:33.910,1558879173910,n3r2b,2,snake,74,0.2772387025228722,0.701012,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:34.910,1558879174910,n3r2b,2,snake,75,0.28042624789680315,0.8295999999999998,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:35.910,1558879175910,n3r2b,2,snake,75,0.2780094523213789,0.8572533333333333,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:36.910,1558879176910,n3r2b,2,snake,75,0.28161081385525205,0.879376,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:37.913,1558879177913,n3r2b,2,snake,74,0.2780094523213789,0.9070293333333334,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:38.912,1558879178912,n3r2b,2,snake,74,0.277623542476402,0.887672,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:39.912,1558879179912,n3r2b,2,snake,70,0.28161081385525205,0.842044,28.42,0,4,17,0,18,10,0,4,5,1.2
2019-05-26 13:59:40.912,1558879180912,n3r2b,2,snake,70,0.2828854314002829,0.804712,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:41.930,1558879181930,n3r2b,2,snake,70,0.2828854314002829,0.8074773333333333,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:42.929,1558879182929,n3r2b,2,snake,70,0.2820078962210942,0.738344,28.42,0,4,17,0,18,10,0,4,5,1.0
2019-05-26 13:59:43.931,1558879183931,n3r2b,2,snake,71,0.2824060999717594,0.7134560000000001,28.42,0,4,17,0,18,10,0,4,5,1.0
