datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-03 20:12:57.774,1559592777774,o9m76,0,snake,73,3.4246575342465753,0.7300479999999999,34.18,2,0,2,13,1,0,0,1,4,1.6
2019-06-03 20:12:58.766,1559592778766,o9m76,0,snake,73,3.4246575342465753,0.7093079999999999,34.18,2,0,2,13,1,0,0,1,4,1.6
2019-06-03 20:12:59.765,1559592779765,o9m76,0,snake,74,3.5211267605633805,0.6968639999999999,34.18,2,0,2,13,1,0,0,1,4,1.6
2019-06-03 20:13:00.765,1559592780765,o9m76,0,snake,87,3.5211267605633805,0.6736351999999999,34.18,2,0,2,13,1,0,0,1,4,0.8
2019-06-03 20:13:01.767,1559592781767,o9m76,0,snake,85,3.484320557491289,0.655384,34.18,2,0,2,13,1,0,0,1,4,0.8
2019-06-03 20:13:02.765,1559592782765,o9m76,0,snake,87,3.4602076124567476,0.6537248,34.18,2,0,2,13,1,0,0,1,4,0.8
2019-06-03 20:13:03.766,1559592783766,o9m76,0,snake,87,3.5587188612099645,0.659532,34.18,2,0,2,13,1,0,0,1,4,0.8
2019-06-03 20:13:04.768,1559592784768,o9m76,0,snake,88,3.690036900369004,0.6736352,34.18,2,0,2,13,1,0,100,1,4,0.8
2019-06-03 20:13:05.846,1559592785846,o9m76,0,snake,88,3.6496350364963503,0.6844199999999998,34.21,2,0,2,13,1,0,100,1,4,1.2
2019-06-03 20:13:06.847,1559592786847,o9m76,0,snake,89,3.6231884057971016,0.70516,34.21,2,0,2,13,1,0,100,1,4,1.2
2019-06-03 20:13:07.850,1559592787850,o9m76,0,snake,86,3.6231884057971016,0.7134560000000001,34.21,2,0,2,13,1,0,100,1,4,1.2
2019-06-03 20:13:08.851,1559592788851,o9m76,0,snake,85,3.6101083032490973,0.730048,34.21,2,0,2,13,1,0,200,1,4,1.2
2019-06-03 20:13:09.852,1559592789852,o9m76,0,snake,85,3.597122302158273,0.7466399999999999,34.21,2,0,2,13,1,0,200,1,4,1.2
2019-06-03 20:13:10.852,1559592790852,o9m76,0,snake,82,3.690036900369004,0.750788,34.21,2,0,2,13,1,0,200,1,4,0.4
2019-06-03 20:13:11.850,1559592791850,o9m76,0,snake,81,3.676470588235294,0.7366847999999999,34.21,2,0,2,13,1,0,200,1,4,0.4
2019-06-03 20:13:12.853,1559592792853,o9m76,0,snake,81,3.7735849056603774,0.7093079999999999,34.21,2,0,2,13,1,0,300,1,4,0.4
2019-06-03 20:13:13.852,1559592793852,o9m76,0,snake,81,3.937007874015748,0.6769535999999998,34.21,2,0,2,13,1,0,300,1,4,0.4
