user_id,honesty,emotionality,extraversion,agreeableness,conscientiousness,openness
1898y,3.5,3,3.1,3.7,3.1,3.2
2ceza,2.5,2.7,3.5,2.1,3.1,3.9
2lkyl,4.6,3.2,4.2,4.8,3.2,3.4
5qpfr,4,3.7,1.7,2.6,3.5,3.8
928gm,3.1,2.8,3,3.8,3.2,3.6
92vgz,3.4,3.7,2.9,3.2,3.9,3.6
93jql,2.9,3.2,2.2,2.7,3.3,2.8
c719h,4.4,3.1,2.7,3.6,3.3,2.8
d1my3,4.1,3.8,2.7,3.2,4.1,2.7
f6fbt,3.3,2.7,4.2,3.1,3.4,4
goy4y,3,4,3,3.9,3.8,4.1
hznrn,3.7,3.4,3.1,3.2,4.2,2.7
izhf7,2.1,4.2,2.3,2.3,2.1,2.3
kxwix,3.9,3,2.4,3,1.9,3.6
n3r2b,4.1,2.5,4.1,3,2.9,3.3
p04js,3.6,3.1,3.9,3.6,3.6,3.1
q0s8q,2.9,3.5,2.9,3.1,3.5,3
qwwwh,2.8,3.3,2.9,3,2,1.7
qy6vz,3.3,2.7,2.1,3.8,2.9,2.4
szs36,2.2,2,3.4,3.2,2.4,2.4
y7r8r,3.1,3.8,1.6,3.2,2.1,3.3
ya3qv,2.6,2.7,3.4,3.1,2.6,2.5
