datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-06 13:43:17.661,1559828597661,ptoj6,0,snake,73,1.8083182640144666,0.821304,33.44,2,0,3,18,5,1,0,2,15,0.0
2019-06-06 13:43:18.661,1559828598661,ptoj6,0,snake,73,1.733102253032929,0.8240693333333334,33.44,2,0,3,18,5,1,0,2,15,0.0
2019-06-06 13:43:19.664,1559828599664,ptoj6,0,snake,74,1.7793594306049823,0.7383440000000001,33.44,2,0,3,18,5,1,0,2,15,0.0
2019-06-06 13:43:20.664,1559828600664,ptoj6,0,snake,74,1.7857142857142858,0.6669984,33.44,2,0,3,18,5,1,100,2,15,0.4
2019-06-06 13:43:21.664,1559828601664,ptoj6,0,snake,74,1.733102253032929,0.6338144,33.44,2,0,3,18,5,1,100,2,15,0.4
2019-06-06 13:43:22.663,1559828602663,ptoj6,0,snake,75,1.7064846416382253,0.6039488000000001,33.44,2,0,3,18,5,1,100,2,15,0.4
2019-06-06 13:43:23.664,1559828603664,ptoj6,0,snake,76,1.7421602787456445,0.6105856000000001,33.44,2,0,3,18,5,1,100,2,15,0.4
2019-06-06 13:43:24.665,1559828604665,ptoj6,0,snake,76,1.733102253032929,0.6072672000000001,33.44,2,0,3,18,5,1,100,2,15,0.4
2019-06-06 13:43:25.663,1559828605663,ptoj6,0,snake,76,1.7271157167530224,0.659532,33.44,2,0,3,18,5,1,100,2,15,0.6
2019-06-06 13:43:26.664,1559828606664,ptoj6,0,snake,77,1.757469244288225,0.70516,33.44,2,0,3,18,5,1,200,2,15,0.6
2019-06-06 13:43:27.664,1559828607664,ptoj6,0,snake,77,1.7452006980802792,0.721752,33.44,2,0,3,18,5,1,200,2,15,0.6
2019-06-06 13:43:28.665,1559828608665,ptoj6,0,snake,90,1.7452006980802792,0.7234111999999999,33.44,2,0,3,18,5,1,200,2,15,0.6
2019-06-06 13:43:29.663,1559828609663,ptoj6,0,snake,89,1.7271157167530224,0.7134559999999999,33.44,2,0,3,18,5,1,300,2,15,0.6
2019-06-06 13:43:30.663,1559828610663,ptoj6,0,snake,88,1.733102253032929,0.7093079999999998,33.44,2,0,3,18,5,1,300,2,15,0.6
2019-06-06 13:43:31.666,1559828611666,ptoj6,0,snake,86,1.7391304347826086,0.676124,33.44,2,0,3,18,5,1,300,2,15,0.6
2019-06-06 13:43:32.664,1559828612664,ptoj6,0,snake,85,1.8248175182481752,0.66368,33.44,2,0,3,18,5,1,300,2,15,0.6
2019-06-06 13:43:33.665,1559828613665,ptoj6,0,snake,85,1.9011406844106464,0.6603616,33.44,2,0,3,18,5,1,300,2,15,0.6
2019-06-06 13:43:34.666,1559828614666,ptoj6,0,snake,87,1.9305019305019304,0.6719759999999999,33.44,2,0,3,18,5,1,400,2,15,0.6
2019-06-06 13:43:35.696,1559828615696,ptoj6,0,snake,87,1.9267822736030829,0.6927159999999999,33.44,2,0,3,18,5,1,500,2,15,0.8
2019-06-06 13:43:36.698,1559828616698,ptoj6,0,snake,87,1.9342359767891684,0.6968639999999999,33.44,2,0,3,18,5,1,500,2,15,0.8
2019-06-06 13:43:37.697,1559828617697,ptoj6,0,snake,87,1.9723865877712032,0.7134560000000001,33.44,2,0,3,18,5,1,600,2,15,0.8
2019-06-06 13:43:38.698,1559828618698,ptoj6,0,snake,86,2.0,0.730048,33.44,2,0,3,18,5,1,600,2,15,0.8
2019-06-06 13:43:39.698,1559828619698,ptoj6,0,snake,85,2.032520325203252,0.7507879999999999,33.44,2,0,3,18,5,1,600,2,15,0.8
2019-06-06 13:43:40.699,1559828620699,ptoj6,0,snake,83,2.079002079002079,0.76738,33.44,2,0,3,18,5,1,600,2,15,0.8
2019-06-06 13:43:41.699,1559828621699,ptoj6,0,snake,83,2.0876826722338206,0.76738,33.44,2,0,3,18,5,1,700,2,15,0.8
2019-06-06 13:43:42.700,1559828622700,ptoj6,0,snake,80,2.192982456140351,0.7590840000000001,33.44,2,0,3,18,5,1,700,2,15,0.8
2019-06-06 13:43:43.699,1559828623699,ptoj6,0,snake,79,2.2522522522522523,0.763232,33.44,2,0,3,18,5,1,700,2,15,0.8
2019-06-06 13:43:44.700,1559828624700,ptoj6,0,snake,79,2.237136465324385,0.76738,33.44,2,0,3,18,5,1,700,2,15,0.8
2019-06-06 13:43:45.699,1559828625699,ptoj6,0,snake,78,2.232142857142857,0.7632319999999999,33.44,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:46.699,1559828626699,ptoj6,0,snake,78,2.232142857142857,0.7577013333333333,33.44,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:47.702,1559828627702,ptoj6,0,snake,79,2.2573363431151243,0.754936,33.6,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:48.701,1559828628701,ptoj6,0,snake,78,2.277904328018223,0.74664,33.6,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:49.703,1559828629703,ptoj6,0,snake,78,2.2675736961451247,0.7167743999999999,33.6,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:50.703,1559828630703,ptoj6,0,snake,79,2.2522522522522523,0.6927159999999999,33.6,2,0,3,18,5,1,800,2,15,0.4
2019-06-06 13:43:51.702,1559828631702,ptoj6,0,snake,83,2.247191011235955,0.701012,33.6,2,0,3,18,5,1,900,2,15,0.4
2019-06-06 13:43:52.704,1559828632704,ptoj6,0,snake,83,2.2675736961451247,0.738344,33.6,2,0,3,18,5,1,900,2,15,0.4
2019-06-06 13:43:53.702,1559828633702,ptoj6,0,snake,82,2.2988505747126435,0.7632319999999999,33.6,2,0,3,18,5,1,900,2,15,0.4
2019-06-06 13:43:54.719,1559828634719,ptoj6,0,snake,83,2.331002331002331,0.7715279999999999,33.6,2,0,3,18,5,1,1000,2,15,0.4
2019-06-06 13:43:55.718,1559828635718,ptoj6,0,snake,80,2.444987775061125,0.76738,33.6,2,0,3,18,5,1,1000,2,15,0.6
2019-06-06 13:43:56.720,1559828636720,ptoj6,0,snake,80,2.4390243902439024,0.759084,33.6,2,0,3,18,5,1,1000,2,15,0.6
2019-06-06 13:43:57.721,1559828637721,ptoj6,0,snake,80,2.3980815347721824,0.759084,33.6,2,0,3,18,5,1,1000,2,15,0.6
2019-06-06 13:43:58.721,1559828638721,ptoj6,0,snake,78,2.3980815347721824,0.7742933333333332,33.6,2,0,3,18,5,1,1100,2,15,0.6
