datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-05-26 15:10:58.525,1558883458525,q0s8q,2,snake,70,0.06556087327083197,0.978928,32.42,4,4,14,6,7,13,0,10,9,0.4
2019-05-26 15:10:59.516,1558883459516,q0s8q,2,snake,65,0.0669478476266988,1.028704,32.42,4,4,14,6,7,13,0,10,9,0.8
2019-05-26 15:11:00.517,1558883460517,q0s8q,2,snake,63,0.07169486664754804,1.0397653333333334,32.42,4,4,14,6,7,13,0,10,9,0.8
2019-05-26 15:11:01.521,1558883461521,q0s8q,2,snake,63,0.0776156473144986,0.945744,32.42,4,4,14,6,7,13,0,10,9,0.8
2019-05-26 15:11:02.522,1558883462522,q0s8q,2,snake,62,0.0776156473144986,0.8752280000000001,32.41,4,4,14,6,7,13,0,10,9,0.8
2019-05-26 15:11:03.524,1558883463524,q0s8q,2,snake,61,0.07506943923128895,0.8461919999999999,32.41,4,4,14,6,7,13,0,10,9,0.8
2019-05-26 15:11:04.522,1558883464522,q0s8q,2,snake,64,0.07988496564946478,0.8351306666666667,32.41,4,4,14,6,7,13,0,10,9,0.0
2019-05-26 15:11:05.522,1558883465522,q0s8q,2,snake,64,0.0776156473144986,0.8849066666666666,32.41,4,4,14,6,7,13,0,10,9,0.0
2019-05-26 15:11:06.522,1558883466522,q0s8q,2,snake,64,0.07817997029161129,0.8738453333333333,32.41,4,4,14,6,7,13,0,10,9,0.0
2019-05-26 15:11:07.523,1558883467523,q0s8q,2,snake,64,0.07903264048051846,0.895968,32.41,4,4,14,6,7,13,0,10,9,0.0
2019-05-26 15:11:08.522,1558883468522,q0s8q,2,snake,64,0.08017317405596087,0.8918200000000001,32.41,4,4,14,6,7,13,0,10,9,0.0
2019-05-26 15:11:09.534,1558883469534,q0s8q,2,snake,69,0.0810241451952682,0.8710800000000001,32.41,4,4,14,6,7,13,0,10,9,1.6
2019-05-26 15:11:10.535,1558883470535,q0s8q,2,snake,69,0.08159934720522236,0.879376,32.41,4,4,14,6,7,13,0,10,9,1.6
2019-05-26 15:11:11.536,1558883471536,q0s8q,2,snake,68,0.08245382585751979,0.8683146666666666,32.41,4,4,14,6,7,13,0,10,9,1.6
2019-05-26 15:11:12.538,1558883472538,q0s8q,2,snake,68,0.08359806052499583,0.8738453333333333,32.41,4,4,14,6,7,13,0,10,9,1.6
