datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-03 20:01:04.146,1559592064146,wymuo,0,snake,70,0.2978850163836759,0.3749792,31.79,2,0,5,14,2,3,0,4,7,1.2
2019-06-03 20:01:05.145,1559592065145,wymuo,0,snake,70,0.30284675953967294,0.439688,31.79,2,0,5,14,2,3,0,4,7,1.2
2019-06-03 20:01:06.147,1559592066147,wymuo,0,snake,70,0.3048780487804878,0.750788,31.79,2,0,5,14,2,3,100,4,7,1.2
2019-06-03 20:01:07.145,1559592067145,wymuo,0,snake,70,0.30656039239730226,0.74664,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:08.146,1559592068146,wymuo,0,snake,83,0.3112356053532524,0.7267295999999999,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:09.145,1559592069145,wymuo,0,snake,83,0.3213367609254499,0.7051599999999999,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:10.146,1559592070146,wymuo,0,snake,82,0.318775900541919,0.70516,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:11.146,1559592071146,wymuo,0,snake,82,0.31918289179699966,0.7134560000000001,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:12.146,1559592072146,wymuo,0,snake,82,0.318775900541919,0.7176039999999999,31.79,2,0,5,14,2,3,200,4,7,1.2
2019-06-03 20:01:13.147,1559592073147,wymuo,0,snake,82,0.31665611146295125,0.7001823999999999,31.79,2,0,5,14,2,3,200,4,7,1.2
2019-06-03 20:01:14.147,1559592074147,wymuo,0,snake,82,0.3252032520325203,0.6968639999999999,31.79,2,0,5,14,2,3,200,4,7,1.2
2019-06-03 20:01:15.147,1559592075147,wymuo,0,snake,82,0.4154549231408392,0.7259,31.79,2,0,5,14,2,3,300,4,7,1.2
2019-06-03 20:01:16.148,1559592076148,wymuo,0,snake,82,0.406669377795852,0.796416,31.79,2,0,5,14,2,3,300,4,7,1.2
2019-06-03 20:01:17.243,1559592077243,wymuo,0,snake,82,0.4024144869215292,0.837896,31.79,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:18.244,1559592078244,wymuo,0,snake,82,0.39904229848363926,0.858636,31.79,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:19.245,1559592079245,wymuo,0,snake,73,0.39323633503735744,0.8738453333333333,31.79,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:20.244,1559592080244,wymuo,0,snake,72,0.3995205753096284,0.8572533333333333,31.79,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:21.246,1559592081246,wymuo,0,snake,71,0.3966679888932963,0.821304,31.79,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:22.245,1559592082245,wymuo,0,snake,72,0.3980891719745223,0.821304,31.79,2,0,5,14,2,3,300,4,7,0.8
2019-06-03 20:01:23.245,1559592083245,wymuo,0,snake,72,0.4061738424045491,0.817156,31.79,2,0,5,14,2,3,300,4,7,0.8
2019-06-03 20:01:24.246,1559592084246,wymuo,0,snake,73,0.40766408479412963,0.8351306666666667,31.79,2,0,5,14,2,3,400,4,7,0.8
2019-06-03 20:01:25.246,1559592085246,wymuo,0,snake,72,0.4100041000410004,0.8461919999999999,31.79,2,0,5,14,2,3,0,4,7,0.8
2019-06-03 20:01:26.248,1559592086248,wymuo,0,snake,74,0.41981528127623846,0.842044,31.79,2,0,5,14,2,3,0,4,7,0.8
2019-06-03 20:01:27.247,1559592087247,wymuo,0,snake,74,0.43327556325823224,0.833748,31.79,2,0,5,14,2,3,0,4,7,0.6
2019-06-03 20:01:28.248,1559592088248,wymuo,0,snake,70,0.44802867383512546,0.8130080000000001,31.79,2,0,5,14,2,3,0,4,7,0.6
2019-06-03 20:01:29.250,1559592089250,wymuo,0,snake,73,0.47460844803037494,0.8019466666666667,31.79,2,0,5,14,2,3,0,4,7,0.6
2019-06-03 20:01:30.251,1559592090251,wymuo,0,snake,72,0.49019607843137253,0.800564,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:31.251,1559592091251,wymuo,0,snake,72,0.4916420845624385,0.8005639999999999,31.79,2,0,5,14,2,3,100,4,7,0.6
2019-06-03 20:01:32.253,1559592092253,wymuo,0,snake,72,0.5133470225872689,0.804712,31.79,2,0,5,14,2,3,100,4,7,0.4
2019-06-03 20:01:33.254,1559592093254,wymuo,0,snake,75,0.5133470225872689,0.862784,31.79,2,0,5,14,2,3,100,4,7,0.4
2019-06-03 20:01:34.254,1559592094254,wymuo,0,snake,73,0.5120327700972862,0.8738453333333333,32.07,2,0,5,14,2,3,100,4,7,0.4
2019-06-03 20:01:35.255,1559592095255,wymuo,0,snake,73,0.5194805194805194,0.771528,32.07,2,0,5,14,2,3,200,4,7,0.4
2019-06-03 20:01:36.253,1559592096253,wymuo,0,snake,73,0.5382131324004306,0.7259,32.07,2,0,5,14,2,3,200,4,7,0.4
2019-06-03 20:01:37.254,1559592097254,wymuo,0,snake,73,0.5494505494505495,0.7424919999999999,32.07,2,0,5,14,2,3,200,4,7,0.6
2019-06-03 20:01:38.254,1559592098254,wymuo,0,snake,73,0.544069640914037,0.800564,32.07,2,0,5,14,2,3,300,4,7,0.6
2019-06-03 20:01:39.255,1559592099255,wymuo,0,snake,73,0.5324813631522897,0.7798240000000001,32.07,2,0,5,14,2,3,400,4,7,0.6
