datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-06-27 09:08:23.250,1561626503250,xrxbc,0,snake,94,3.663003663003663,0.647088,33.88,2,0,4,13,9,0,0,3,5,0.0
2019-06-27 09:08:24.248,1561626504248,xrxbc,0,snake,93,3.690036900369004,0.6338144,33.88,2,0,4,13,9,0,0,3,5,0.0
2019-06-27 09:08:25.250,1561626505250,xrxbc,0,snake,93,3.676470588235294,0.6678279999999999,33.88,2,0,4,13,9,0,0,3,5,0.0
2019-06-27 09:08:26.252,1561626506252,xrxbc,0,snake,91,3.663003663003663,0.659532,33.88,2,0,4,13,9,0,100,3,5,0.0
2019-06-27 09:08:27.253,1561626507253,xrxbc,0,snake,91,3.6496350364963503,0.8572533333333334,33.88,2,0,4,13,9,0,100,3,5,0.6
2019-06-27 09:08:28.251,1561626508251,xrxbc,0,snake,91,3.6496350364963503,0.76738,33.88,2,0,4,13,9,0,100,3,5,0.6
2019-06-27 09:08:29.250,1561626509250,xrxbc,0,snake,89,3.6496350364963503,0.7333664,33.88,2,0,4,13,9,0,200,3,5,0.6
2019-06-27 09:08:30.251,1561626510251,xrxbc,0,snake,88,3.6496350364963503,0.6404512,33.88,2,0,4,13,9,0,200,3,5,0.6
2019-06-27 09:08:31.253,1561626511253,xrxbc,0,snake,88,3.6363636363636362,0.6570432,33.88,2,0,4,13,9,0,200,3,5,0.6
2019-06-27 09:08:32.316,1561626512316,xrxbc,0,snake,88,3.6363636363636362,0.6553840000000001,33.88,2,0,4,13,9,0,200,3,5,1.0
2019-06-27 09:08:33.316,1561626513316,xrxbc,0,snake,88,3.6363636363636362,0.647088,33.88,2,0,4,13,9,0,300,3,5,1.0
2019-06-27 09:08:34.318,1561626514318,xrxbc,0,snake,88,3.6363636363636362,0.647088,33.88,2,0,4,13,9,0,300,3,5,1.0
2019-06-27 09:08:35.317,1561626515317,xrxbc,0,snake,94,3.6363636363636362,0.6504063999999999,33.88,2,0,4,13,9,0,300,3,5,1.0
2019-06-27 09:08:36.318,1561626516318,xrxbc,0,snake,93,3.6363636363636362,0.6512359999999999,33.88,2,0,4,13,9,0,300,3,5,1.0
2019-06-27 09:08:37.318,1561626517318,xrxbc,0,snake,93,3.6231884057971016,0.6769535999999998,33.88,2,0,4,13,9,0,400,3,5,0.6
2019-06-27 09:08:38.320,1561626518320,xrxbc,0,snake,90,3.6231884057971016,0.688568,33.88,2,0,4,13,9,0,400,3,5,0.6
2019-06-27 09:08:39.320,1561626519320,xrxbc,0,snake,88,3.6231884057971016,0.6835904,33.88,2,0,4,13,9,0,400,3,5,0.6
2019-06-27 09:08:40.318,1561626520318,xrxbc,0,snake,90,3.6231884057971016,0.66368,33.88,2,0,4,13,9,0,400,3,5,0.6
2019-06-27 09:08:41.319,1561626521319,xrxbc,0,snake,88,3.6231884057971016,0.6537248000000001,33.88,2,0,4,13,9,0,500,3,5,0.6
2019-06-27 09:08:42.319,1561626522319,xrxbc,0,snake,90,3.6231884057971016,0.647088,33.93,2,0,4,13,9,0,500,3,5,1.0
2019-06-27 09:08:43.319,1561626523319,xrxbc,0,snake,90,3.6101083032490973,0.6437695999999999,33.93,2,0,4,13,9,0,500,3,5,1.0
2019-06-27 09:08:44.321,1561626524321,xrxbc,0,snake,91,3.6101083032490973,0.638792,33.93,2,0,4,13,9,0,600,3,5,1.0
2019-06-27 09:08:45.321,1561626525321,xrxbc,0,snake,92,3.6101083032490973,0.6404512,33.93,2,0,4,13,9,0,600,3,5,1.0
2019-06-27 09:08:46.319,1561626526319,xrxbc,0,snake,91,3.6101083032490973,0.647088,33.93,2,0,4,13,9,0,600,3,5,1.0
2019-06-27 09:08:47.320,1561626527320,xrxbc,0,snake,92,3.6101083032490973,0.6537248,33.93,2,0,4,13,9,0,700,3,5,1.0
2019-06-27 09:08:48.320,1561626528320,xrxbc,0,snake,91,3.597122302158273,0.6636799999999999,33.93,2,0,4,13,9,0,700,3,5,1.0
2019-06-27 09:08:49.321,1561626529321,xrxbc,0,snake,91,3.597122302158273,0.6678279999999999,33.93,2,0,4,13,9,0,700,3,5,1.0
2019-06-27 09:08:50.323,1561626530323,xrxbc,0,snake,90,3.597122302158273,0.6669983999999999,33.93,2,0,4,13,9,0,700,3,5,1.0
2019-06-27 09:08:51.323,1561626531323,xrxbc,0,snake,90,3.597122302158273,0.659532,33.93,2,0,4,13,9,0,700,3,5,1.0
2019-06-27 09:08:52.326,1561626532326,xrxbc,0,snake,90,3.6101083032490973,0.6470879999999999,33.93,2,0,4,13,9,0,700,3,5,1.2
2019-06-27 09:08:53.327,1561626533327,xrxbc,0,snake,90,3.6101083032490973,0.638792,33.93,2,0,4,13,9,0,800,3,5,1.2
2019-06-27 09:08:54.327,1561626534327,xrxbc,0,snake,91,3.6101083032490973,0.6404512,33.93,2,0,4,13,9,0,800,3,5,1.2
2019-06-27 09:08:55.327,1561626535327,xrxbc,0,snake,92,3.6101083032490973,0.647088,33.93,2,0,4,13,9,0,800,3,5,1.2
2019-06-27 09:08:56.327,1561626536327,xrxbc,0,snake,92,3.6101083032490973,0.6404512,33.93,2,0,4,13,9,0,900,3,5,1.2
2019-06-27 09:08:57.328,1561626537328,xrxbc,0,snake,94,3.597122302158273,0.6338144,33.93,2,0,4,13,9,0,900,3,5,1.0
2019-06-27 09:08:58.329,1561626538329,xrxbc,0,snake,92,3.597122302158273,0.6338144000000001,33.93,2,0,4,13,9,0,900,3,5,1.0
2019-06-27 09:08:59.330,1561626539330,xrxbc,0,snake,93,3.597122302158273,0.6338144,33.93,2,0,4,13,9,0,900,3,5,1.0
2019-06-27 09:09:00.328,1561626540328,xrxbc,0,snake,93,3.6101083032490973,0.634644,33.93,2,0,4,13,9,0,900,3,5,1.0
2019-06-27 09:09:01.330,1561626541330,xrxbc,0,snake,93,3.6231884057971016,0.6338144000000001,33.93,2,0,4,13,9,0,900,3,5,1.0
2019-06-27 09:09:02.331,1561626542331,xrxbc,0,snake,93,3.6231884057971016,0.634644,33.93,2,0,4,13,9,0,900,3,5,0.2
2019-06-27 09:09:03.332,1561626543332,xrxbc,0,snake,93,3.6101083032490973,0.6338144,33.93,2,0,4,13,9,0,1000,3,5,0.2
2019-06-27 09:09:04.333,1561626544333,xrxbc,0,snake,94,3.6101083032490973,0.6238592000000001,33.93,2,0,4,13,9,0,1000,3,5,0.2
2019-06-27 09:09:05.332,1561626545332,xrxbc,0,snake,93,3.597122302158273,0.6238592,33.93,2,0,4,13,9,0,1000,3,5,0.2
2019-06-27 09:09:06.333,1561626546333,xrxbc,0,snake,94,3.597122302158273,0.6238592000000001,33.93,2,0,4,13,9,0,1000,3,5,0.2
2019-06-27 09:09:07.333,1561626547333,xrxbc,0,snake,94,3.6101083032490973,0.6304960000000001,33.93,2,0,4,13,9,0,1000,3,5,0.8
2019-06-27 09:09:08.334,1561626548334,xrxbc,0,snake,94,3.6496350364963503,0.6338144,33.93,2,0,4,13,9,0,1100,3,5,0.8
2019-06-27 09:09:09.333,1561626549333,xrxbc,0,snake,94,3.6496350364963503,0.6271775999999999,33.93,2,0,4,13,9,0,1100,3,5,0.8
2019-06-27 09:09:10.335,1561626550335,xrxbc,0,snake,94,3.6363636363636362,0.6238592000000001,33.93,2,0,4,13,9,0,1100,3,5,0.8
2019-06-27 09:09:11.335,1561626551335,xrxbc,0,snake,94,3.6231884057971016,0.6105856000000001,33.93,2,0,4,13,9,0,1200,3,5,0.8
2019-06-27 09:09:12.335,1561626552335,xrxbc,0,snake,94,3.6231884057971016,0.6039488000000001,33.94,2,0,4,13,9,0,1200,3,5,0.6
2019-06-27 09:09:13.334,1561626553334,xrxbc,0,snake,94,3.6231884057971016,0.597312,33.94,2,0,4,13,9,0,1200,3,5,0.6
2019-06-27 09:09:14.338,1561626554338,xrxbc,0,snake,95,3.6101083032490973,0.6006304,33.94,2,0,4,13,9,0,1200,3,5,0.6
2019-06-27 09:09:15.338,1561626555338,xrxbc,0,snake,95,3.6101083032490973,0.6006304,33.94,2,0,4,13,9,0,1200,3,5,0.6
2019-06-27 09:09:16.337,1561626556337,xrxbc,0,snake,95,3.6231884057971016,0.6006304,33.94,2,0,4,13,9,0,1300,3,5,0.6
2019-06-27 09:09:17.338,1561626557338,xrxbc,0,snake,100,3.6496350364963503,0.6039488000000001,33.94,2,0,4,13,9,0,1300,3,5,0.6
2019-06-27 09:09:18.339,1561626558339,xrxbc,0,snake,99,3.6496350364963503,0.613904,33.94,2,0,4,13,9,0,0,3,5,0.6
2019-06-27 09:09:19.338,1561626559338,xrxbc,0,snake,98,3.676470588235294,0.6304960000000001,33.94,2,0,4,13,9,0,0,3,5,0.6
2019-06-27 09:09:20.339,1561626560339,xrxbc,0,snake,96,3.676470588235294,0.6404512,33.94,2,0,4,13,9,0,100,3,5,0.6
2019-06-27 09:09:21.338,1561626561338,xrxbc,0,snake,96,3.676470588235294,0.6437696,33.94,2,0,4,13,9,0,100,3,5,0.6
2019-06-27 09:09:22.340,1561626562340,xrxbc,0,snake,96,3.690036900369004,0.647088,33.94,2,0,4,13,9,0,200,3,5,2.0
2019-06-27 09:09:23.341,1561626563341,xrxbc,0,snake,95,3.663003663003663,0.647088,33.94,2,0,4,13,9,0,200,3,5,2.0
2019-06-27 09:09:24.341,1561626564341,xrxbc,0,snake,95,3.6496350364963503,0.647088,33.94,2,0,4,13,9,0,200,3,5,2.0
2019-06-27 09:09:25.341,1561626565341,xrxbc,0,snake,94,3.6496350364963503,0.6512359999999999,33.94,2,0,4,13,9,0,200,3,5,2.0
2019-06-27 09:09:26.343,1561626566343,xrxbc,0,snake,92,3.6363636363636362,0.6504064,33.94,2,0,4,13,9,0,200,3,5,2.0
2019-06-27 09:09:27.343,1561626567343,xrxbc,0,snake,92,3.6363636363636362,0.651236,33.94,2,0,4,13,9,0,300,3,5,0.8
2019-06-27 09:09:28.343,1561626568343,xrxbc,0,snake,92,3.6363636363636362,0.6504063999999999,33.94,2,0,4,13,9,0,300,3,5,0.8
2019-06-27 09:09:29.342,1561626569342,xrxbc,0,snake,92,3.6363636363636362,0.655384,33.94,2,0,4,13,9,0,400,3,5,0.8
2019-06-27 09:09:30.360,1561626570360,xrxbc,0,snake,91,3.6231884057971016,0.6636799999999999,33.94,2,0,4,13,9,0,400,3,5,0.8
2019-06-27 09:09:31.361,1561626571361,xrxbc,0,snake,91,3.6231884057971016,0.667828,33.94,2,0,4,13,9,0,400,3,5,0.8
2019-06-27 09:09:32.361,1561626572361,xrxbc,0,snake,90,3.6231884057971016,0.6703167999999999,33.94,2,0,4,13,9,0,400,3,5,1.2
2019-06-27 09:09:33.364,1561626573364,xrxbc,0,snake,90,3.6231884057971016,0.667828,33.94,2,0,4,13,9,0,400,3,5,1.2
2019-06-27 09:09:34.367,1561626574367,xrxbc,0,snake,90,3.6231884057971016,0.6636799999999999,33.94,2,0,4,13,9,0,500,3,5,1.2
2019-06-27 09:09:35.369,1561626575369,xrxbc,0,snake,90,3.6231884057971016,0.6636799999999999,33.94,2,0,4,13,9,0,500,3,5,1.2
2019-06-27 09:09:36.369,1561626576369,xrxbc,0,snake,93,3.6101083032490973,0.6769536,33.94,2,0,4,13,9,0,600,3,5,1.2
2019-06-27 09:09:37.371,1561626577371,xrxbc,0,snake,94,3.6101083032490973,0.6968639999999999,33.94,2,0,4,13,9,0,600,3,5,0.4
2019-06-27 09:09:38.373,1561626578373,xrxbc,0,snake,87,3.6101083032490973,0.7134560000000001,33.94,2,0,4,13,9,0,600,3,5,0.4
2019-06-27 09:09:39.373,1561626579373,xrxbc,0,snake,86,3.6101083032490973,0.7176039999999999,33.94,2,0,4,13,9,0,600,3,5,0.4
2019-06-27 09:09:40.376,1561626580376,xrxbc,0,snake,86,3.6101083032490973,0.7176039999999999,33.94,2,0,4,13,9,0,600,3,5,0.4
2019-06-27 09:09:41.376,1561626581376,xrxbc,0,snake,84,3.597122302158273,0.7101376,33.94,2,0,4,13,9,0,600,3,5,0.4
2019-06-27 09:09:42.380,1561626582380,xrxbc,0,snake,84,3.597122302158273,0.709308,33.96,2,0,4,13,9,0,600,3,5,0.8
2019-06-27 09:09:43.381,1561626583381,xrxbc,0,snake,85,3.597122302158273,0.7068192,33.96,2,0,4,13,9,0,600,3,5,0.8
2019-06-27 09:09:44.383,1561626584383,xrxbc,0,snake,83,3.597122302158273,0.696864,33.96,2,0,4,13,9,0,700,3,5,0.8
2019-06-27 09:09:45.382,1561626585382,xrxbc,0,snake,85,3.597122302158273,0.692716,33.96,2,0,4,13,9,0,700,3,5,0.8
2019-06-27 09:09:46.386,1561626586386,xrxbc,0,snake,85,3.597122302158273,0.6885679999999998,33.96,2,0,4,13,9,0,700,3,5,0.8
2019-06-27 09:09:47.386,1561626587386,xrxbc,0,snake,84,3.597122302158273,0.6927159999999999,33.96,2,0,4,13,9,0,700,3,5,0.2
2019-06-27 09:09:48.386,1561626588386,xrxbc,0,snake,85,3.597122302158273,0.7001823999999999,33.96,2,0,4,13,9,0,700,3,5,0.2
2019-06-27 09:09:49.391,1561626589391,xrxbc,0,snake,85,3.597122302158273,0.70516,33.96,2,0,4,13,9,0,700,3,5,0.2
