datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,points,subjective_diff,subjective_fun,click_per_second
2019-05-26 14:56:54.550,1558882614550,ya3qv,0,snake,64,0.17905102954341987,0.9872240000000001,33.17,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:56:55.551,1558882615551,ya3qv,0,snake,65,0.17905102954341987,1.0231733333333335,33.17,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:56:56.551,1558882616551,ya3qv,0,snake,65,0.17905102954341987,1.0397653333333334,33.17,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:56:57.551,1558882617551,ya3qv,0,snake,65,0.1821161901293025,0.9789280000000001,33.17,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:56:58.552,1558882618552,ya3qv,0,snake,64,0.18281535648994515,0.9236213333333335,33.17,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:56:59.553,1558882619553,ya3qv,0,snake,64,0.1841620626151013,1.0563573333333334,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:00.580,1558882620580,ya3qv,0,snake,64,0.18484288354898337,1.017642666666667,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:01.581,1558882621581,ya3qv,0,snake,63,0.18587360594795538,0.9789280000000001,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:02.582,1558882622582,ya3qv,0,snake,62,0.18521948508983144,0.779824,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:03.581,1558882623581,ya3qv,0,snake,63,0.186219739292365,0.759084,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:04.582,1558882624582,ya3qv,0,snake,78,0.18864365214110546,0.7400032000000001,33.24,5,5,7,7,3,10,0,3,10,0.8
2019-05-26 14:57:05.583,1558882625583,ya3qv,0,snake,78,0.18968133535660092,0.7673800000000001,33.24,5,5,7,7,3,10,0,3,10,1.0
2019-05-26 14:57:06.585,1558882626585,ya3qv,0,snake,78,0.19036740909956215,0.76738,33.24,5,5,7,7,3,10,0,3,10,1.0
2019-05-26 14:57:07.586,1558882627586,ya3qv,0,snake,78,0.19105846388995032,0.730048,33.24,5,5,7,7,3,10,0,3,10,1.0
2019-05-26 14:57:08.591,1558882628591,ya3qv,0,snake,77,0.1920860545524395,0.680272,33.24,5,5,7,7,3,10,0,3,10,1.0
