Code,Description,Label,Type
02.12.04.00.00,Atorvastatin 80mg tablets,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg tablets,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg tablets,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 40mg tablets,atorvastatin,bnf_code
02120400,Atorvastatin 40mg tablets,atorvastatin,bnf_code
0212000B0AAACAC,Atorvastatin  Tablets  40 mg,atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN TABLETS 10MG,atorvastatin,bnf_code
02120400,Atorvastatin 20mg tablets,atorvastatin,bnf_code
02120400,Atorvastatin 80mg tablets,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 30mg tablets,atorvastatin,bnf_code
0212000B0AAABAB,Atorvastatin  Tablets  20 mg,atorvastatin,bnf_code
0212000B0AAAAAA,Atorvastatin  Tablets  10 mg,atorvastatin,bnf_code
0212000B0AAACAC,ATORVASTATIN TABLETS 40MG,atorvastatin,bnf_code
0212000B0AAABAB,ATORVASTATIN TABLETS 20MG,atorvastatin,bnf_code
02120400,Atorvastatin 10mg tablets,atorvastatin,bnf_code
0212,ATORVASTATIN TABLETS 80MG,atorvastatin,bnf_code
0212000B0AAABAB,Atorvastatin TABS 20MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg tablets (Teva UK Ltd),atorvastatin,bnf_code
0212000B0AAACAC,Atorvastatin TABS 40MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 60mg tablets,atorvastatin,bnf_code
0212,Atorvastatin  Tablets  80 mg,atorvastatin,bnf_code
0212000B0AAAAAA,Atorvastatin TABS 10MG,atorvastatin,bnf_code
0212000B0AAAAAA,Atorvastatin TABLETS 10MG,atorvastatin,bnf_code
0212000B0AAABAB,Atorvastatin TABLETS 20MG,atorvastatin,bnf_code
02120400,ATORVASTATIN tabs 40mg,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 80mg tablets (Actavis UK Ltd),atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 40mg tablets (Teva UK Ltd),atorvastatin,bnf_code
0212,Atorvastatin TABS 80MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg chewable tablets sugar free,atorvastatin,bnf_code
